名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
翔殷路771号,杨浦黄兴公园,翔殷路771号,56628, 板楼, 30户, 1栋, 商品房, 1983年 , 0.8元/平米/月, 上海五角场物业管理有限公司
佳木斯路295号,杨浦黄兴公园,佳木斯路295号,0, 板楼, 20户, 1栋, 商品房, 1994年 , 暂无信息, 暂无信息
佳木斯路311号,杨浦黄兴公园,佳木斯路311号,46455, 板楼, 20户, 1栋, 商品房, 1994-1995年 , 0.8元/平米/月, 上海杨浦物业管理有限公司
佳木斯路122号,杨浦黄兴公园,佳木斯路122号,0, 板楼, 24户, 1栋, 商品房, 1989年 , 暂无信息, 暂无信息
翔殷路821号,杨浦黄兴公园,翔殷路821号,0, 板楼, 24户, 1栋, 商品房, 1982年 , 暂无信息, 暂无信息
松花江路930号,杨浦黄兴公园,松花江路930号,65248, 板楼, 21户, 1栋, 商品房/使用权, 1998年 , 暂无信息, 上海杨浦物业管理有限公司
中能八号公馆,杨浦黄兴公园,"营口路851号, 营口路857号, 安波路467弄",0, 板楼, 255户, 4栋, 商品房/使用权, 2012年 , 7元/平米/月, 上海延吉物业管理有限公司
洪东新苑,杨浦黄兴公园,翔殷支路115弄,61917, 板楼, 56户, 5栋, 商品房, 2003年 , 0.8元/平米/月, 君晟物业
国权东路172号,杨浦黄兴公园,国权东路172号,0, 板楼, 1户, 1栋, 商品房, 2013年 , 暂无信息, 第一太平戴維斯
江南华府,杨浦黄兴公园,重固路88弄,0, 板楼, 1户, 1栋, 使用权, 2005年 , 6元/平米/月, 上海上置物业管理有限公司
佳木斯路124号,杨浦黄兴公园,佳木斯路124号,0, 板楼, 24户, 1栋, 商品房, 1989年 , 0.8元/平米/月, 凯城楼宇物业管理有限公司
佳木斯路270号,杨浦黄兴公园,佳木斯路270号,0, 板楼, 24户, 1栋, 商品房, 1989年 , 0.8元/平米/月, 凯城楼宇物业管理有限公司
沧州路160弄,杨浦黄兴公园,沧州路160弄,80559, 板楼, 50户, 4栋, 商品房/使用权, 1993年 , 0.8元/平米/月, 延吉物业
佳木斯路102号,杨浦黄兴公园,佳木斯路102号,55127, 板楼, 24户, 1栋, 商品房, 1996年 , 0.8元/平米/月, 凯城楼宇物业管理有限公司
佳木斯路191弄,杨浦黄兴公园,佳木斯路191弄,0, 板楼, 24户, 1栋, 商品房, 1979年 , 0.8元/平米/月, 上海阳厦物业管理有限公司
双阳北路395弄42号,杨浦黄兴公园,双阳北路395弄42号,0, 塔楼, 3户, 1栋, 商品房, 2004年 , 暂无信息, 暂无信息
佳木斯路224号,杨浦黄兴公园,佳木斯路224号,45982, 板楼, 15户, 1栋, 售后公房, 1996年 , 暂无信息, 暂无信息
新昌润大酒店,杨浦黄兴公园,营口路625弄3号,0, 板楼, 1户, 1栋, 使用权, 暂无信息 , 暂无信息, 暂无信息
关山路54号,杨浦黄兴公园,关山路54号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
关山路52，54，64号,杨浦黄兴公园,关山路52，54，64号,0, 未知类型, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
翔殷路269弄小区,杨浦黄兴公园,翔殷路269弄,55582, 板楼, 48户, 2栋, 商品房, 1988年 , 0.82元/平米/月, 上海五角场物业管理有限公司
佳木斯路268号,杨浦黄兴公园,佳木斯路268号,0, 板楼, 24户, 1栋, 商品房/使用权, 1989年 , 暂无信息, 暂无信息
桥升公寓,杨浦黄兴公园,松花江路855号,59963, 板楼, 12户, 1栋, 商品房, 1998年 , 1.2元/平米/月, 兴桥盛物业
顺东欣苑,杨浦黄兴公园,国顺东路55弄,83113, 板楼, 285户, 4栋, 商品房/售后公房/动迁安置房/使用权, 2019年 , 暂无信息, 暂无信息
佳木斯路154弄,杨浦黄兴公园,"佳木斯路154弄, 佳木斯路122号, 佳木斯路124号, 佳木斯路190号, 佳木斯路192号",54554, 板楼, 449户, 23栋, 商品房/售后公房/使用权, 1979-1982年 , 0.8元/平米/月, 杨浦区实业有限公司
翔殷路765号,杨浦黄兴公园,翔殷路765号,0, 板楼, 24户, 1栋, 商品房, 1983年 , 0.8元/平米/月, 上海五角场物业管理有限公司
永吉路122弄,杨浦黄兴公园,永吉路122弄,60937, 板楼, 70户, 3栋, 商品房/使用权, 1989年 , 0.6元/平米/月, 延吉物业管理公司
城浦公寓,杨浦黄兴公园,国顺东路243弄,78954, 板楼, 54户, 5栋, 商品房, 2000-2001年 , 0.47元/平米/月, 上海星育物业管理公司
靖宇中路8弄,杨浦黄兴公园,靖宇中路8弄,60943, 板楼, 204户, 9栋, 商品房/售后公房/使用权, 1982年 , 0.8至1.2元/平米/月, 自主物业
延吉东路82弄,杨浦黄兴公园,延吉东路82弄,53087, 板楼, 1145户, 53栋, 商品房/售后公房/使用权/廉租房, 1980-1982年 , 1.5元/平米/月, 上海阳夏物业管理有限公司
公园3000黄兴花园,杨浦黄兴公园,"双阳北路288弄, 国顺东路889号",93790, 板楼, 1969户, 149栋, 商品房, 2002-2008年 , 1.85至4元/平米/月, 上海延吉物业管理有限公司
文化佳园,杨浦黄兴公园,"国权东路99弄, 国权东路33号",95453, 板楼, 1152户, 116栋, 商品房/使用权, 2002年 , 1.57至4.5元/平米/月, 上海科瑞物业管理发展有限公司（绿地集团）
佳龙花园,杨浦黄兴公园,营口路600弄,95905, 板楼, 1865户, 60栋, 商品房/私产, 2004-2005年 , 2元/平米/月, 上海杨房物业管理有限公司
营口路776弄（浣纱雅苑）,杨浦黄兴公园,营口路776弄,90795, 板楼, 132户, 11栋, 商品房, 2003年 , 0.8至4.1元/平米/月, 暂无信息
杨浦欣园东区,杨浦黄兴公园,包头南路628弄1号,69991, 板楼, 136户, 2栋, 商品房, 2006年 , 1.5至1.8元/平米/月, 暂无信息
国顺东路12号,杨浦黄兴公园,国顺东路12号,0, 板楼, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
万佳苑,杨浦黄兴公园,佳木斯路321弄,72206, 板楼/塔板结合, 537户, 37栋, 商品房/使用权, 1998-2005年 , 0.55至3.31元/平米/月, 上海海月物业管理有限公司
延吉二村,杨浦黄兴公园,延吉二村,66449, 板楼, 1594户, 60栋, 商品房/售后公房/使用权/廉租房, 1981-1984年 , 0.8元/平米/月, 上海延吉物业管理有限公司
双花公寓,杨浦黄兴公园,双阳路666弄,55238, 塔楼/板楼, 680户, 6栋, 商品房/售后公房/使用权, 1984-1992年 , 1.8元/平米/月, 上海轻工物业管理有限公司
锦兰苑,杨浦黄兴公园,安波路800弄,87807, 板楼, 192户, 20栋, 商品房, 2003年 , 1.05元/平米/月, 工联物业
营口大厦,杨浦黄兴公园,营口路625弄1-2号,58489, 塔楼, 384户, 2栋, 商品房/使用权, 1999年 , 1.8元/平米/月, 上海银星置业有限公司
松苑小区,杨浦黄兴公园,松花江路1160弄,67843, 板楼, 461户, 28栋, 商品房/使用权, 1995-1997年 , 0.6至0.8元/平米/月, 上海黄兴物业有限公司
怡佳苑,杨浦黄兴公园,"佳木斯路315弄, 佳木斯路279号",57095, 板楼, 1125户, 54栋, 商品房/售后公房/使用权, 1994-1996年 , 0.4至0.8元/平米/月, 上海杨浦物业管理有限公司
长白三村,杨浦黄兴公园,长白三村,58164, 板楼, 3226户, 123栋, 商品房/已购公房/售后公房/使用权, 1958-2010年 , 0.3至0.85元/平米/月, 卫百辛物业
汇元坊,杨浦黄兴公园,国顺东路900弄,85388, 板楼, 572户, 30栋, 商品房, 2002年 , 1.83元/平米/月, 上海杨房物业管理有限公司
控江路486号,杨浦控江路,控江路486号,0, 板楼, 16户, 1栋, 商品房/使用权, 1975年 , 暂无信息, 暂无信息
控江路1452号,杨浦控江路,控江路1452号,0, 板楼, 43户, 1栋, 使用权, 1961年 , 暂无信息, 暂无资料
图们路27号,杨浦控江路,图们路27号,50957, 板楼, 24户, 1栋, 商品房/使用权, 1983年 , 0.8元/平米/月, 上海市政物业
控江路1446号,杨浦控江路,控江路1446号,0, 板楼, 40户, 1栋, 商品房/售后公房/使用权, 1960-1978年 , 暂无信息, 四平物业
控江路480号,杨浦控江路,控江路480号,0, 板楼, 24户, 1栋, 商品房/使用权, 1975年 , 0.56元/平米/月, 上海阳夏物业管理有限公司
延吉中路101弄,杨浦控江路,延吉中路101弄,0, 板楼, 78户, 1栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
控江路478号,杨浦控江路,控江路478号,45073, 板楼, 24户, 1栋, 商品房/使用权, 1975年 , 0.18元/平米/月, 上海阳厦物业管理有限公司
凤城三村东区,杨浦控江路,"延吉西路80弄,长岭路75弄,黄兴路1413弄,黄兴路1061号,黄兴路1063号",56266, 板楼/平房, 3867户, 152栋, 商品房/已购公房/售后公房/使用权/廉租房, 1956-1994年 , 0.8至1.65元/平米/月, 暂无信息
控江路494号,杨浦控江路,控江路494号,44012, 板楼, 20户, 1栋, 商品房/使用权, 1975年 , 暂无信息, 暂无信息
长白路168号,杨浦控江路,长白路168号,0, 板楼, 15户, 1栋, 商品房, 1983年 , 暂无信息, 上海长白物业管理有限公司
控江路140号,杨浦控江路,控江路140号,0, 板楼, 20户, 1栋, 商品房, 1976-2009年 , 0.6元/平米/月, 上海阳夏物业管理有限公司
图们新苑,杨浦控江路,图们路20弄,61392, 塔楼/板楼, 485户, 11栋, 商品房/售后公房/动迁安置房, 2015-2021年 , 0.6至1.5元/平米/月, 暂无信息
图们路55号,杨浦控江路,图们路55号,0, 板楼, 20户, 1栋, 商品房, 1979年 , 暂无信息, 暂无信息
图们路10弄,杨浦控江路,图们路10弄,0, 未知类型, 182户, 3栋, 商品房/售后公房/动迁安置房, 暂无信息 , 暂无信息, 暂无信息
敦化路26号,杨浦控江路,敦化路26号,0, 板楼, 20户, 1栋, 商品房/使用权, 1978年 , 暂无信息, 暂无信息
控江路64号,杨浦控江路,控江路64号,0, 板楼, 16户, 1栋, 商品房/使用权, 1976年 , 0.8元/平米/月, 上海阳夏物业管理有限公司
控江路1444号,杨浦控江路,控江路1444号,0, 板楼, 32户, 1栋, 商品房/售后公房/使用权, 1960年 , 1.1元/平米/月, 暂无信息
控江路1462号,杨浦控江路,控江路1462号,0, 未知类型, 39户, 1栋, 商品房/使用权, 1961年 , 暂无信息, 暂无信息
益晖新苑,杨浦控江路,安图路18弄,74185, 板楼, 1288户, 14栋, 商品房/售后公房/动迁安置房, 2010-2019年 , 1.2至1.5元/平米/月, 自主物业
凤城三村西区,杨浦控江路,"凤城三村, 黄兴路1413弄, 江浦路2000弄, 长岭路60弄, 黄兴路1061号",58694, 板楼, 3258户, 121栋, 商品房/已购公房/售后公房/使用权, 1958-2011年 , 0.6至0.8元/平米/月, 卫百辛物业
控江一村,杨浦控江路,"控江一村, 控江路1050弄",79974, 板楼, 771户, 57栋, 商品房/售后公房/使用权, 1974-1999年 , 0.6元/平米/月, 上海市卫百辛集团延吉物业管理有限公司
新凤城,杨浦控江路,"凤城路51弄（银座）,控江路1500弄",97020, 板楼, 2474户, 107栋, 商品房/使用权/私产, 2000-2007年 , 1.63至2.88元/平米/月, 上海西部集团物业管理服务有限公司
永吉路97弄,杨浦控江路,永吉路97弄,61976, 板楼, 323户, 16栋, 商品房/使用权, 1987-1993年 , 0.6元/平米/月, 上海东湖物业管理有限公司
控江路1200弄,杨浦控江路,控江路1200弄,61519, 板楼, 1365户, 43栋, 商品房/已购公房/售后公房/使用权, 1958-2010年 , 0.45元/平米/月, 上海平凉物业管理有限公司
敦化路4弄,杨浦控江路,敦化路4弄,48065, 板楼, 260户, 10栋, 商品房/售后公房/使用权, 1987年 , 0.8元/平米/月, 上海阳夏物业管理有限公司
松花江路44号,杨浦控江路,松花江路44号,0, 板楼, 24户, 1栋, 商品房/使用权, 1980年 , 暂无信息, 暂无信息
控江路1460号,杨浦控江路,控江路1460号,0, 板楼, 40户, 1栋, 商品房/使用权, 1961年 , 0.4元/平米/月, 四平物业
图们路27号,杨浦控江路,图们路27号,50957, 板楼, 24户, 1栋, 商品房/使用权, 1983年 , 0.8元/平米/月, 上海市政物业
控江路196号,杨浦控江路,控江路196号,56365, 板楼, 4户, 1栋, 商品房, 1975年 , 暂无信息, 暂无信息
控江路480号,杨浦控江路,控江路480号,0, 板楼, 24户, 1栋, 商品房/使用权, 1975年 , 0.56元/平米/月, 上海阳夏物业管理有限公司
延吉中路101弄,杨浦控江路,延吉中路101弄,0, 板楼, 78户, 1栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
控江路73号,杨浦控江路,控江路73号,0, 板楼, 15户, 1栋, 商品房/使用权, 1981年 , 暂无信息, 暂无信息
图们路55号,杨浦控江路,图们路55号,0, 板楼, 20户, 1栋, 商品房, 1979年 , 暂无信息, 暂无信息
图们路10弄,杨浦控江路,图们路10弄,0, 未知类型, 182户, 3栋, 商品房/售后公房/动迁安置房, 暂无信息 , 暂无信息, 暂无信息
控江路494号,杨浦控江路,控江路494号,44012, 板楼, 20户, 1栋, 商品房/使用权, 1975年 , 暂无信息, 暂无信息
凤城三村东区,杨浦控江路,"延吉西路80弄,长岭路75弄,黄兴路1413弄,黄兴路1061号,黄兴路1063号",56266, 板楼/平房, 3867户, 152栋, 商品房/已购公房/售后公房/使用权/廉租房, 1956-1994年 , 0.8至1.65元/平米/月, 暂无信息
控江路1462号,杨浦控江路,控江路1462号,0, 未知类型, 39户, 1栋, 商品房/使用权, 1961年 , 暂无信息, 暂无信息
图们新苑,杨浦控江路,图们路20弄,61392, 塔楼/板楼, 485户, 11栋, 商品房/售后公房/动迁安置房, 2015-2021年 , 0.6至1.5元/平米/月, 暂无信息
控江路1446号,杨浦控江路,控江路1446号,0, 板楼, 40户, 1栋, 商品房/售后公房/使用权, 1960-1978年 , 暂无信息, 四平物业
图们路33号,杨浦控江路,"图们路33号, （图门路33号）",62966, 板楼, 27户, 1栋, 商品房/使用权, 1983年 , 暂无信息, 暂无信息
控江路478号,杨浦控江路,控江路478号,45073, 板楼, 24户, 1栋, 商品房/使用权, 1975年 , 0.18元/平米/月, 上海阳厦物业管理有限公司
敦化路26号,杨浦控江路,敦化路26号,0, 板楼, 20户, 1栋, 商品房/使用权, 1978年 , 暂无信息, 暂无信息
长白路168号,杨浦控江路,长白路168号,0, 板楼, 15户, 1栋, 商品房, 1983年 , 暂无信息, 上海长白物业管理有限公司
控江路140号,杨浦控江路,控江路140号,0, 板楼, 20户, 1栋, 商品房, 1976-2009年 , 0.6元/平米/月, 上海阳夏物业管理有限公司
控江一村,杨浦控江路,"控江一村, 控江路1050弄",79974, 板楼, 771户, 57栋, 商品房/售后公房/使用权, 1974-1999年 , 0.6元/平米/月, 上海市卫百辛集团延吉物业管理有限公司
凤城三村西区,杨浦控江路,"凤城三村, 黄兴路1413弄, 江浦路2000弄, 长岭路60弄, 黄兴路1061号",58694, 板楼, 3258户, 121栋, 商品房/已购公房/售后公房/使用权, 1958-2011年 , 0.6至0.8元/平米/月, 卫百辛物业
益晖新苑,杨浦控江路,安图路18弄,74185, 板楼, 1288户, 14栋, 商品房/售后公房/动迁安置房, 2010-2019年 , 1.2至1.5元/平米/月, 自主物业
控江路1200弄,杨浦控江路,控江路1200弄,61519, 板楼, 1365户, 43栋, 商品房/已购公房/售后公房/使用权, 1958-2010年 , 0.45元/平米/月, 上海平凉物业管理有限公司
控江路68号,杨浦控江路,控江路68号,0, 板楼, 16户, 1栋, 商品房/售后公房/使用权, 1976年 , 暂无信息, 暂无信息
控江路28号,杨浦控江路,控江路28号,0, 板楼, 16户, 1栋, 商品房, 1983年 , 暂无信息, 是上海浦东国力物业总公司
控江路64号,杨浦控江路,控江路64号,0, 板楼, 16户, 1栋, 商品房/使用权, 1976年 , 0.8元/平米/月, 上海阳夏物业管理有限公司
控江路1444号,杨浦控江路,控江路1444号,0, 板楼, 32户, 1栋, 商品房/售后公房/使用权, 1960年 , 1.1元/平米/月, 暂无信息
泰鸿新苑,杨浦控江路,延吉中路25弄,80560, 板楼, 250户, 7栋, 商品房, 2006年 , 1.55元/平米/月, 上海浦发物业有限公司
敦化路4弄,杨浦控江路,敦化路4弄,48065, 板楼, 260户, 10栋, 商品房/售后公房/使用权, 1987年 , 0.8元/平米/月, 上海阳夏物业管理有限公司
控江七村,杨浦控江路,控江七村,60757, 板楼, 1487户, 57栋, 商品房/售后公房/使用权, 1979-1992年 , 0.6至1.2元/平米/月, 坤龙物业管理有限公司
武川路49号,杨浦五角场,武川路49号,0, 未知类型, 3户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
武川路49号,杨浦五角场,武川路49号,0, 未知类型, 3户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
海鹏公寓,杨浦五角场,黄兴路2019弄,64054, 板楼, 108户, 9栋, 商品房, 1996年 , 0.8至1.7元/平米/月, 上海海杨物业管理有限公司
东方锦园,杨浦五角场,政立路687弄,84384, 板楼, 355户, 26栋, 商品房, 2006年 , 0.8元/平米/月, 上海东方物业有限公司
杨浦科技大厦,杨浦五角场,"黄兴路2005弄1号, 黄兴路2005弄1、2号",56604, 板楼, 120户, 2栋, 商品房/使用权/私产, 1996-2006年 , 2.8至3元/平米/月, 暂无信息
仁和苑,杨浦五角场,政通路240弄,73678, 板楼, 289户, 22栋, 商品房/使用权, 1998-1999年 , 1.5元/平米/月, 上海兴宇物业管理有限公司
四季绿园,杨浦五角场,国顺路119弄,73020, 板楼, 102户, 9栋, 商品房, 2000年 , 0.5至0.8元/平米/月, 上海杨广物业管理有限公司
大诚花苑,杨浦五角场,国定路299弄,66415, 板楼, 176户, 14栋, 商品房, 1997-2000年 , 1.2元/平米/月, 自主物业
五角丰达商务广场,杨浦五角场,"政益路8号,政益路28号,政益路47-48号",0, 板楼, 533户, 4栋, 商品房/使用权, 2009-2011年 , 12元/平米/月, 上海亚都物业管理有限公司
海鸿公寓,杨浦五角场,国权路95弄,65812, 板楼, 374户, 21栋, 商品房/使用权, 1996-2003年 , 0.6至0.8元/平米/月, 五角物业
中通公寓,杨浦五角场,国权后路19号,77342, 板楼, 84户, 1栋, 商品房, 2003年 , 1.5元/平米/月, 鑫沪物业
江湾翰林,杨浦五角场,"锦创路88弄,伟成路188弄,伟成路199弄",113421, 板楼, 302户, 20栋, 商品房, 2013年 , 5.6至6元/平米/月, 瑞安物业管理有限公司
创智坊(办公楼),杨浦五角场,"大学路33号, 大学路263号, 大学路299号, 大学路163号, 大学路161号, 人民路217号, 大学路132号, 大学路125号, 大学路199号, 大学路248号, 大学路292号, 大学路90号, 大学路103号, 大学路170号, 大学路185号, 大学路195号, 大学路20号, 大学路259号, 大学路26号",0, 板楼, 496户, 40栋, 商品房/使用权, 2006-2010年 , 2.35至2.9元/平米/月, 暂无信息
国权路336弄1支弄,杨浦五角场,国权路336弄1支弄,0, 板楼, 71户, 4栋, 商品房/使用权, 1990-2007年 , 暂无信息, 暂无信息
复旦书馨公寓,杨浦五角场,"国权路3号,国权后路15弄",89647, 板楼, 280户, 6栋, 商品房, 2003年 , 1.5至1.83元/平米/月, 鑫沪物业
新海商务大厦,杨浦五角场,逸仙路661号,0, 未知类型, 163户, 1栋, 商品房, 2003年 , 暂无信息, 暂无信息
中环国际大厦,杨浦五角场,淞沪路161号,0, 板楼, 84户, 1栋, 商品房, 2005年 , 3元/平米/月, 上海戎鑫置业发展有限公司
政民花苑,杨浦五角场,政民路200弄,65077, 板楼, 175户, 8栋, 商品房/使用权, 1993-1994年 , 0.48至0.5元/平米/月, 上海银星置业有限公司
怡福苑,杨浦五角场,国顺路66弄,74791, 塔楼, 384户, 2栋, 商品房, 2005年 , 1.98元/平米/月, 上海沪裕房地产有限公司
同济晶度,杨浦五角场,逸仙路25号,0, 未知类型, 335户, 2栋, 商品房/使用权/乡产/私产, 暂无信息 , 暂无信息, 暂无信息
复旦教师公寓,杨浦五角场,国定路505弄,61460, 板楼, 324户, 20栋, 商品房/使用权, 1986-1996年 , 0.8元/平米/月, 上海五角场物业管理有限公司
文化花园明珠苑,杨浦五角场,逸仙路655弄,74236, 板楼, 394户, 21栋, 商品房/使用权, 2001年 , 1.7元/平米/月, 上海文化花园物业管理有限公司
市益大楼,杨浦五角场,国权路85弄,70846, 板楼, 216户, 9栋, 商品房/售后公房/使用权, 1995-1998年 , 1.2元/平米/月, 上海杨浦物业管理有限公司
百旺小区,杨浦五角场,国定路140弄,70536, 板楼, 42户, 4栋, 商品房, 1999年 , 0.8至1元/平米/月, 百旺物业
吉浦小区,杨浦五角场,吉浦路395弄,55932, 塔楼/板楼, 572户, 17栋, 商品房/使用权, 1995-1999年 , 0.5元/平米/月, 上海绿岛物业发展有限公司
怡富商务广场,杨浦五角场,"黄兴路1725号, 黄兴路1737号, 黄兴路1731号",0, 板楼/塔板结合, 324户, 3栋, 商品房/使用权, 2007年 , 15元/平米/月, 上海春川物业服务有限公司
文化花园香榭丽苑,杨浦五角场,"武川路75弄, 武川路75弄20号",76130, 板楼, 1026户, 59栋, 商品房/使用权, 1999-2002年 , 0.5至1.6元/平米/月, 上海文化花园物业管理有限公司
财富国际广场,杨浦五角场,"国权路39号（金座）,国权路43号（银座）",0, 板楼, 2114户, 4栋, 商品房, 2007年 , 19至19.8元/平米/月, 上海诚意物业管理有限公司
文化名园,杨浦五角场,吉浦路375弄,77496, 板楼, 798户, 46栋, 商品房/使用权, 2002-2003年 , 0.55至0.85元/平米/月, 上海诚意物业管理有限公司
林绿家园,杨浦五角场,四平路1950弄,82221, 塔楼/板楼, 1544户, 68栋, 商品房/动迁安置房, 1976-2010年 , 0.8至1.5元/平米/月, 上海承铭物业管理有限公司
皇朝新城,杨浦五角场,黄兴路1999弄,59436, 塔楼/板楼, 480户, 3栋, 商品房, 1996-2004年 , 1.6元/平米/月, 上海春之声物业管理有限公司
国权路300弄,杨浦五角场,国权路300弄,59518, 板楼, 120户, 8栋, 商品房/使用权, 1983年 , 0.5至0.8元/平米/月, 上海中远物业管理发展有限公司
政修路11号,杨浦五角场,政修路11号,0, 板楼, 24户, 1栋, 商品房, 1985年 , 0.5元/平米/月, 暂无信息
政修路27号,杨浦五角场,政修路27号,62265, 板楼, 24户, 1栋, 商品房/使用权, 1986年 , 暂无信息, 暂无信息
国顺路386号,杨浦五角场,国顺路386号,67704, 板楼, 24户, 1栋, 商品房, 1981年 , 0.8元/平米/月, 暂无信息
邯郸路500弄,杨浦五角场,邯郸路500弄,0, 板楼, 193户, 5栋, 商品房/使用权, 1980年 , 0.6元/平米/月, 同济物业
国年路99号,杨浦五角场,国年路99号,0, 板楼, 10户, 1栋, 商品房/使用权, 1990年 , 暂无信息, 暂无信息
国权路230弄,杨浦五角场,国权路230弄,57187, 板楼, 121户, 11栋, 商品房/使用权, 2000年 , 8元/平米/月, 上海复旦大学物业管理
国定路288弄,杨浦五角场,国定路288弄,0, 板楼, 260户, 26栋, 使用权, 暂无信息 , 0.5元/平米/月, 暂无信息
国顺路394号-398号,杨浦五角场,"国顺路396号, 国顺路394号, 国顺路398号",68858, 板楼, 50户, 3栋, 商品房/使用权, 1981年 , 0.5至0.8元/平米/月, 卫百辛物业
创智天地企业中心,杨浦五角场,"伟成路70号（1号楼）,政学路51号（2号楼）,伟成路62号（3号楼）,政学路88号（5号楼）,淞沪路433号（6号楼）,政立路500号（7号楼）",0, 板楼, 400户, 8栋, 商品房/使用权, 2013-2014年 , 25元/平米/月, 上海丰城物业有限公司
政修路23号,杨浦五角场,政修路23号,60103, 板楼, 24户, 1栋, 商品房/使用权, 1986年 , 0.6元/平米/月, 自主物业
国定路61号,杨浦五角场,国定路61号,0, 板楼, 2户, 1栋, 商品房/使用权, 2005年 , 暂无信息, 上海兴宇物业管理有限公司
政通路131弄,杨浦五角场,政通路131弄,0, 板楼, 86户, 5栋, 商品房/使用权, 暂无信息 , 暂无信息, 暂无信息
"政立路703,705号",杨浦五角场,"政立路703, 705号",0, 板楼, 1户, 1栋, 商品房, 暂无信息 , 暂无信息, 暂无信息
政民路299号,杨浦五角场,政民路299号,69021, 板楼, 20户, 1栋, 商品房, 1986年 , 暂无信息, 暂无信息
东方馨园,杨浦五角场,国定路358弄,0, 板楼, 98户, 10栋, 商品房/使用权, 2004年 , 0.6至1.5元/平米/月, 深圳市富春东方物业管理有限公司
办公楼虹口区,杨浦五角场,地址详情见栋座,0, 未知类型, 1413户, 74栋, 商品房/使用权, 1995-2015年 , 暂无信息, 暂无信息
万达商业广场,杨浦五角场,淞沪路77号,0, 未知类型, 297户, 4栋, 商品房, 2002-2006年 , 暂无信息, 暂无信息
文化花园,杨浦五角场,武东路275弄,0, 板楼, 181户, 11栋, 商品房/使用权, 暂无信息 , 1.2元/平米/月, 暂无信息
政修路7号,杨浦五角场,政修路7号,0, 板楼, 18户, 1栋, 商品房, 1983年 , 暂无信息, 上海五角场物业管理有限公司
政修路21号,杨浦五角场,政修路21号,56016, 板楼, 24户, 1栋, 商品房, 1986年 , 0.44元/平米/月, 暂无信息
沪东金融大厦,杨浦五角场,翔殷路1128号,0, 未知类型, 146户, 1栋, 商品房/已购公房/使用权, 暂无信息 , 暂无信息, 上海沪东金融大厦物业管理有限公司
大学路272号,杨浦五角场,大学路272号,0, 未知类型, 10户, 1栋, 商品房, 2008年 , 暂无信息, 暂无信息
武川路101号,杨浦五角场,武川路101号,56985, 未知类型, 40户, 1栋, 商品房, 1965年 , 暂无信息, 暂无信息
国顺路392号,杨浦五角场,国顺路392号,65460, 板楼, 20户, 1栋, 商品房/使用权, 1981年 , 0.3元/平米/月, 上海凯晨物业管理有限公司
汇锦里,杨浦五角场,国权路汇锦里,0, 板楼, 128户, 2栋, 商品房/使用权, 2007年 , 19元/平米/月, 暂无信息
国顺路390号,杨浦五角场,国顺路390号,75164, 板楼, 20户, 1栋, 商品房, 1981年 , 暂无信息, 暂无信息
黄兴广场,杨浦五角场,国定路黄兴广场,0, 塔楼, 276户, 1栋, 商品房, 2006年 , 暂无信息, 暂无信息
大学路172号,杨浦五角场,大学路172号,0, 未知类型, 16户, 1栋, 商品房, 2014年 , 暂无信息, 暂无信息
民京路900号,杨浦中原,民京路900号,53909, 板楼, 25户, 1栋, 商品房, 1988-1989年 , 0.5元/平米/月, 自主物业
民星路568弄,杨浦中原,民星路568弄,50501, 板楼, 60户, 4栋, 商品房/售后公房/使用权, 1997年 , 0.5元/平米/月, 上海盛祥物业管理有限公司
民星路406号,杨浦中原,民星路406号,62969, 板楼, 32户, 1栋, 商品房, 1987年 , 0.5元/平米/月, 上海殷行物业管理有限公司
翔殷路352号,杨浦中原,翔殷路352号,60002, 板楼, 48户, 1栋, 商品房, 2001年 , 1.2元/平米/月, 上海五角场物业管理有限公司
君叶公寓,杨浦中原,国和路445弄,68098, 板楼, 55户, 6栋, 商品房/使用权, 1998-1999年 , 1.8元/平米/月, 上海五角场物业管理有限公司
政立路80弄,杨浦中原,政立路80弄,58713, 板楼, 225户, 18栋, 商品房/售后公房/使用权, 1986年 , 0.8元/平米/月, 上海五角场物业管理有限公司
世界路65弄,杨浦中原,世界路65弄,64078, 板楼, 141户, 13栋, 商品房, 2004年 , 0.8元/平米/月, 暂无信息
国和路427号,杨浦中原,国和路427号,0, 板楼, 18户, 1栋, 商品房, 1995年 , 0.6元/平米/月, 国安物业
长海四村,杨浦中原,长海四村,56293, 板楼, 468户, 24栋, 商品房/已购公房/售后公房/使用权, 1995-1996年 , 0.5元/平米/月, 上海殷行物业管理有限公司
开鲁路27号,杨浦中原,开鲁路27号,39007, 板楼, 19户, 1栋, 商品房/使用权, 1985年 , 暂无信息, 暂无信息
民星路404号,杨浦中原,民星路404号,50319, 板楼, 30户, 1栋, 商品房, 1987年 , 0.5元/平米/月, 上海殷行物业管理有限公司
